TIME,CH1,CH2
-0.01,0.086875,3.93594
-0.0099998,0.0853906,3.9125
-0.0099996,0.103281,3.97969
-0.0099994,0.0739063,3.97812
-0.0099992,0.0464062,3.95156
-0.009999,0.090625,3.94687
-0.0099988,0.0832812,3.95469
-0.0099986,0.0964844,4.00937
-0.0099984,0.0770313,3.99219
-0.0099982,0.110234,3.9625
-0.009998,0.0910937,4.05156
-0.0099978,0.0725781,4.00625
-0.0099976,0.117422,4.02656
-0.0099974,0.0898438,4.02812
-0.0099972,0.0975781,4.02344
-0.009997,0.0924219,3.98594
-0.0099968,0.0628125,3.98906
-0.0099966,0.101875,4.01094
-0.0099964,0.0852344,4.03437
-0.0099962,0.0922656,4.04688
-0.009996,0.0851563,4.0625
-0.0099958,0.0664062,4.00625
-0.0099956,0.0866406,4.01875
-0.0099954,0.0775,4.01562
-0.0099952,0.0670313,4.02969
-0.009995,0.102656,4.07344
-0.0099948,0.0796094,4.05469
-0.0099946,0.0967969,4.04531
-0.0099944,0.0952344,4.04844
-0.0099942,0.0778125,4.10781
-0.009994,0.103516,4.10156
-0.0099938,0.0469531,4.0625
-0.0099936,0.0941406,4.0625
-0.0099934,0.0886719,4.13906
-0.0099932,0.0992188,4.09687
-0.009993,0.0901562,4.075
-0.0099928,0.0765625,4.08906
-0.0099926,0.113359,4.07969
-0.0099924,0.101172,4.10625
-0.0099922,0.0813281,4.17656
-0.009992,0.102891,4.09375
-0.0099918,0.0722656,4.09844
-0.0099916,0.0732031,4.125
-0.0099914,0.0725781,4.15781
-0.0099912,0.0567969,4.14375
-0.009991,0.0783594,4.09687
-0.0099908,0.0634375,4.16875
-0.0099906,0.100703,4.1125
-0.0099904,0.0886719,4.14219
-0.0099902,0.0829688,4.16562
-0.00999,0.0867969,4.12344
-0.0099898,0.0742969,4.15781
-0.0099896,0.0742188,4.16719
-0.0099894,0.0914844,4.13125
-0.0099892,0.085,4.12812
-0.009989,0.10875,4.10312
-0.0099888,0.08125,4.16562
-0.0099886,0.0921094,4.15781
-0.0099884,0.0978906,4.22656
-0.0099882,0.094375,4.14062
-0.009988,0.0886719,4.15625
-0.0099878,0.0989062,4.19375
-0.0099876,0.0750781,4.19531
-0.0099874,0.0780469,4.17969
-0.0099872,0.0614063,4.175
-0.009987,0.0826563,4.16094
-0.0099868,0.0999219,4.15469
-0.0099866,0.083125,4.2
-0.0099864,0.0929688,4.18594
-0.0099862,0.0515625,4.21406
-0.009986,0.0589062,4.19219
-0.0099858,0.0835156,4.21719
-0.0099856,0.0751563,4.19062
-0.0099854,0.0753906,4.19219
-0.0099852,0.0894531,4.20312
-0.009985,0.0954687,4.2125
-0.0099848,0.113047,4.20312
-0.0099846,0.0934375,4.16875
-0.0099844,0.0827344,4.25
-0.0099842,0.0877344,4.18125
-0.009984,0.0754687,4.25156
-0.0099838,0.100078,4.20312
-0.0099836,0.107344,4.20312
-0.0099834,0.0825,4.20312
-0.0099832,0.0732812,4.22656
-0.009983,0.105703,4.2
-0.0099828,0.093125,4.19531
-0.0099826,0.102812,4.2125
-0.0099824,0.103281,4.20781
-0.0099822,0.0630469,4.27656
-0.009982,0.0925781,4.18906
-0.0099818,0.09,4.275
-0.0099816,0.0864063,4.24531
-0.0099814,0.0942188,4.23594
-0.0099812,0.0778906,4.24375
-0.009981,0.115703,4.25312
-0.0099808,0.110391,4.24219
-0.0099806,0.124609,4.24687
-0.0099804,0.0917969,4.24375
-0.0099802,0.0896094,4.22187
-0.00998,0.0989844,4.25156
-0.0099798,0.096875,4.27969
-0.0099796,0.0552344,4.25469
-0.0099794,0.0952344,4.225
-0.0099792,0.0846875,4.25625
-0.009979,0.108828,4.23281
-0.0099788,0.0889062,4.24062
-0.0099786,0.0642969,4.24844
-0.0099784,0.0429688,4.24844
-0.0099782,0.103906,4.24062
-0.009978,0.0864844,4.23438
-0.0099778,0.0849219,4.25
-0.0099776,0.0907031,4.25937
-0.0099774,0.06,4.25781
-0.0099772,0.0582813,4.28281
-0.009977,0.107813,4.27187
-0.0099768,0.061875,4.27812
-0.0099766,0.0796875,4.25781
-0.0099764,0.113672,4.29531
-0.0099762,0.0763281,4.27344
-0.009976,0.0999219,4.24531
-0.0099758,0.121953,4.29531
-0.0099756,0.0835156,4.25937
-0.0099754,0.0910156,4.23906
-0.0099752,0.0652344,4.26719
-0.009975,0.0882813,4.2625
-0.0099748,0.0859375,4.275
-0.0099746,0.0757813,4.30625
-0.0099744,0.105234,4.2875
-0.0099742,0.116094,4.35469
-0.009974,0.0824219,4.29844
-0.0099738,0.085625,4.28437
-0.0099736,0.0823437,4.325
-0.0099734,0.0946875,4.27656
-0.0099732,0.0852344,4.29375
-0.009973,0.0875781,4.32812
-0.0099728,0.0889062,4.27031
-0.0099726,0.0920313,4.30625
-0.0099724,0.0985156,4.27344
-0.0099722,0.0974219,4.30469
-0.009972,0.0809375,4.29219
-0.0099718,0.0778125,4.34687
-0.0099716,0.0865625,4.3125
-0.0099714,0.0883594,4.28437
-0.0099712,0.0957812,4.31562
-0.009971,0.0814844,4.31562
-0.0099708,0.0858594,4.30469
-0.0099706,0.0874219,4.32969
-0.0099704,0.0915625,4.32812
-0.0099702,0.0567187,4.34375
-0.00997,0.0972656,4.33281
-0.0099698,0.0679688,4.28594
-0.0099696,0.117344,4.3375
-0.0099694,0.075625,4.34062
-0.0099692,0.0821875,4.29219
-0.009969,0.0839844,4.33125
-0.0099688,0.104141,4.30937
-0.0099686,0.103047,4.35625
-0.0099684,0.0932812,4.35
-0.0099682,0.0710156,4.35156
-0.009968,0.0813281,4.33281
-0.0099678,0.0977344,4.36094
-0.0099676,0.0646094,4.34062
-0.0099674,0.0671875,4.35781
-0.0099672,0.0911719,4.3875
-0.009967,0.101406,4.3625
-0.0099668,0.0972656,4.35938
-0.0099666,0.0847656,4.39062
-0.0099664,0.0786719,4.38437
-0.0099662,0.0975781,4.37031
-0.009966,0.0882813,4.38125
-0.0099658,0.0952344,4.41719
-0.0099656,0.0904688,4.37187
-0.0099654,0.0653125,4.39219
-0.0099652,0.0898438,4.37187
-0.009965,0.0857812,4.39062
